Name,Type,Sex,Breed,Size,Fur length,"Age range (young 0-1 yrs, young adult 1-3 yrs, adult 3-8 yrs, senior 8+ yrs)","Age (years, months)",Okay with kids?,Indoors only?,Okay in apartments/condos?,House trained?,Okay with cats?,Okay with dogs?,Bonded with another animal?,Special needs?,Location,Intro,Link
Noodle,Dog,M,Caucasian shepherd,L,long,young ,1,N,N,N,N,N,N,N,N,Abbotsford,"Hello, Iâ€™m Noodle! I am a young, boisterous, happy, and GROWING boy! I am looking for a home that has extensive large breed experience.",https://adopt.spca.bc.ca/pets/268868/?from_search=true
Brandy,Dog,F,Kelpie,M,short,adult,6,Y,N,N,Y,N,N,N,N,Abbotsford,"Hello, I'm Brandy! I love extreme fetch, puzzle toys, and hide and seek.",https://adopt.spca.bc.ca/pets/271524/
Quincy,Dog,M,Jack russell terrier,S,medium,young ,5 months,N/A,N,N,N,N/A,N/A,N,N,West Vancouver,"Hello, I'm Quincy! I love any and all toys and a good game of chase or tug of war.",https://adopt.spca.bc.ca/pets/274303/
Cash,Dog,M,Anatolian shepherd/kangal dog,XL,short,young ,1,N,N,N/A,Y,N,N/A,N,N,Sechelt,"Hello, I'm Cash! I love food - my favourites are chicken and pepperoni!",https://adopt.spca.bc.ca/pets/262164/
Roxie,Dog,F,Jack russell terrier,S,medium,adult,4,N,N,N/A,N/A,N/A,Y,N,Y,Nanaimo,"Hello, I'm Roxie! My favourite thing to do is snuggle up with other dogs.",https://adopt.spca.bc.ca/pets/256156/
Stella ,Dog,F,Rottweiler,L,short,young adult,1.5,Y,N,N/A,N/A,N/A,N,N,N,Langley,"Hello, I'm Stella! I love to run, play with ropes, and jump around with other dogs. ",https://petlover.petstablished.com/pets/public/1177706?awo=Loved+at+Last+Dog+Rescue&widget=false
Jojo,Dog,F,Pit bull mix,L,short,young adult,2,N/A,N,N,Y,N,N,N,N,Vancouver,"Hello, I'm Jojo! The key to my heart is peanut butter <3",https://petlover.petstablished.com/pets/public/877920?awo=Loved+at+Last+Dog+Rescue&widget=false
Sugar,Cat,M,Domestic short hair,L,short,adult,7,N,Y,Y,N/A,Y,N/A,Y,Y,Kamloops,"Hello, I'm Sugar! I love playing with my toy mouse and chasing laser pointers. I'm bonded with Ginger.",https://adopt.spca.bc.ca/pets/267870/
Ginger,Cat,M,Domestic short hair,L,short,adult,7,N,Y,Y,N/A,Y,N/A,Y,Y,Kamloops,"Hello, I'm Ginger! I love cuddling and scratches. I'm bonded with my brother, Sugar.",https://adopt.spca.bc.ca/pets/267869/
Thatcher,Cat,M,Domestic short hair,L,short,adult,7,N,Y,Y,N/A,N/A,N/A,N,N,Vancouver,"Hello, I'm Thatcher! I love being pets and scritches, and loud noises sometimes spook me.",https://adopt.spca.bc.ca/pets/274206/?from_search=true
Charlie,Cat,M,Domestic short hair,M,short,young adult,3,Y,Y,Y,N/A,Y,N,N,N,Port Alberni,"Hello, I'm Charli! I'm very affectionate and love cuddling!",https://adopt.spca.bc.ca/pets/273804/
Toffee,Cat,M,Domestic short hair,M,short,young adult,2,N/A,Y,Y,N/A,N,N,N,Y,Comox,"Hello, I'm Toffee! Like my name suggests, I'm very sweet!",https://adopt.spca.bc.ca/pets/268050/
Verstappen,Cat,M,Domestic long hair,M,long,young,1,N/A,N/A,N/A,N/A,Y,N/A,N,N,Dawson Creek,"Hello, I'm Verstappen! I love playing with other cats and would love a friendly feline companion!",https://adopt.spca.bc.ca/pets/265946/?from_search=true
Spudmier,Cat,M,Domestic medium hair,S,medium,young,4 months,N,Y,Y,Y,Y,N/A,N,Y,Fort St. John,"Hello, I'm Spudmier! I love learning to play fetch with crinkle toys.",https://adopt.spca.bc.ca/pets/256178/
Freckles,Cat,F,Domestic medium hair,M,medium,senior,12,N,N/A,N/A,N/A,N/A,N/A,N,N,Nelson,"Hello, I'm Freckles! I love snuggling and burrowing into a nest made of pillows.",https://adopt.spca.bc.ca/pets/272005/
Katana,Cat,F,Domestic short hair,M,short,senior,11,N/A,N/A,N/A,N/A,Y,N/A,Y,N,Vernon,"Hello, I'm Katana! I love chin scratches and I'm bonded with Shield.",https://adopt.spca.bc.ca/pets/268125/
Shield,Cat,F,Domestic short hair,M,short,senior,11,N/A,N/A,N/A,N/A,Y,N/A,Y,N,Vernon,"Hello, I'm Shield! I love chin scratches and I'm bonded with Katana.",https://adopt.spca.bc.ca/pets/268131/
Nailah,Cat,F,Domestic short hair,S,short,young,3 months,N,N/A,N/A,N/A,Y,N,Y,N,Vancouver,"Hello, I'm Nailah! I love sitting on top of the cat tree! I'm bonded with Jamilia. ",https://www.vokra.ca/adopt-a-cat?cat=47458710
Jamilia,Cat,F,Domestic short hair,S,short,young,3 months,N,N/A,N/A,N/A,Y,N,Y,N,Vancouver,"Hello, I'm Jamilia! I love to chase after balls and laser pointers! I'm bonded with Nailah. ",https://www.vokra.ca/adopt-a-cat?cat=47458715
Creampuff,Cat,F,Domestic short hair,M,short,adult,6,N,N/A,N/A,N/A,N,N/A,N,N,Vancouver,"Hello, I'm Creampuff! Fun fact - I have 6 toes on each paw!",https://www.vokra.ca/adopt-a-cat?cat=42238140
Tony,Bird,M,Budgie,S,N/A,young,8 months,N/A,Y,Y,N/A,N/A,N/A,Y,N,Victoria,"Hello, I'm Tony! I love singing and flying around in my enclosure! I'm bonded with Mark. ",https://adopt.spca.bc.ca/pets/270253/
Mark,Bird,M,Budgie,S,N/A,young,8 months,N/A,Y,Y,N/A,N/A,N/A,Y,N,Victoria,"Hello, I'm Mark! I love singing and flying around in my enclosure! I'm bonded with Tony. ",https://adopt.spca.bc.ca/pets/270242/
Huffles,Small animal,M,Guinea pig,S,long,young,1,Y,Y,N/A,Y,N/A,N/A,N,N,Burnaby,"Hello, I'm Huffles! I love snuggles and toys!",https://adopt.spca.bc.ca/pets/273416/
Venom,Small animal,F,Guinea pig,S,long,senior ,5,N/A,Y,N/A,N/A,N/A,N/A,N,N,Vancouver,"Hello, I'm Venom! I love to roam and explore, and I'm okay with having other female guinea pigs around. ",https://adopt.spca.bc.ca/pets/258897/
Sue Ann Nivens,Small animal,F,Rat,S,short,young,3 months,N/A,Y,N/A,N/A,N/A,N/A,Y,N,Surrey,"Hello, I'm Sue Ann Nivens! I love eating tasty treats and I am bonded with Rose.",https://adopt.spca.bc.ca/pets/271803/
Daisy Mae,Small animal,F,Rabbit,S,medium,adult,2,N/A,Y,N/A,N/A,N/A,N/A,N,N,Burnaby,"Hello, I'm Daisy Mae! I love slow head and chin scratches.",https://adopt.spca.bc.ca/pets/254270/